"n","uc_y1_1990","uc_y1_2019","uc_y10_1990","uc_y10_2019","arbreak_y1_1990","arbreak_y1_2019","arbreak_y10_1990","arbreak_y10_2019","arlearn_y1_1990","arlearn_y1_2019","arlearn_y10_1990","arlearn_y10_2019"
185,1.25623536435732,0.771215521987534,1.66453147578465,0.878861491167518,2.39218162026236,0.748980977756473,2.96143446966844,1.58324421424481,2.50350535722485,1.24816315752657,3.28088810695051,1.9704489219724
186,1.252599773595,0.769300087285387,1.65875618586911,0.876355628966888,2.39014336288636,0.748002742684639,2.95491676769949,1.58168564982764,2.50135417998406,1.24737228740805,3.27441125548002,1.96823002651879
187,1.24901964267459,0.767394353112768,1.65302608657261,0.8738761589865,2.38804689222485,0.747034450888296,2.94845430507772,1.58006217473401,2.49923658156983,1.2466197953236,3.26802547106111,1.96600892954685
188,1.24544393906531,0.765492724390911,1.64734669500635,0.871413372470857,2.38591660206674,0.7460408805765,2.94197040306103,1.57842359600986,2.49697446101737,1.24583853091501,3.26141553727004,1.96379512472913
189,1.24189400379545,0.76359516308965,1.64170949028572,0.868965544788477,2.38377243732526,0.745056963886149,2.93551990080236,1.57686017653325,2.49472283020349,1.24502050471606,3.25475746271565,1.96156032577572
190,1.23837057144818,0.761705152167058,1.63609411416009,0.866536427782883,2.38161081066681,0.744070289575459,2.92895282735731,1.57530833610545,2.49244147402027,1.24416259759351,3.24814260329244,1.9593549359279
191,1.2348818110303,0.759839745193171,1.63050181080249,0.864108394052359,2.37934067506635,0.743102980069804,2.92242333571152,1.57370735253269,2.49019102382727,1.24329496655492,3.24149475338887,1.95714455014548
192,1.23138490714167,0.757965052774262,1.62492597289309,0.861676901409023,2.37692658537382,0.742133191248664,2.91585438206035,1.57207774548456,2.48795489471244,1.24246416479053,3.23477038767217,1.95494878599593
193,1.22789867483165,0.756101298989016,1.61938735820863,0.859255068439676,2.37454890363506,0.741177923373727,2.90917160845736,1.57046033363483,2.4856740845757,1.24163515409092,3.22804972548203,1.95275292571618
194,1.22444089013265,0.754260883561443,1.61385584510134,0.856851730690506,2.37225736964029,0.740230814244863,2.90243917385575,1.56884262429382,2.48350599931378,1.24079276103139,3.22121442326081,1.95052057978712
195,1.22098469047182,0.752426584838362,1.60828800098904,0.854461652393727,2.3699665309026,0.739281093489754,2.89584360950143,1.56727569959148,2.48123681984125,1.23996362264394,3.2143193726622,1.94828704445997
196,1.21755854795295,0.750595379865951,1.6027535883693,0.852072241389628,2.36757661611778,0.738344974552399,2.88916736853408,1.56569858166164,2.47903538455325,1.23912111678534,3.20726863357132,1.9460897772857
197,1.21412370038257,0.748770870560789,1.59724404306116,0.849723090706637,2.36517715360548,0.737408095137953,2.88246232479516,1.56412574204273,2.47682290964056,1.23829865877511,3.20024170769312,1.94384262748875
198,1.21071329327993,0.746960252267223,1.59180221617886,0.847378834098846,2.36278221733126,0.736485462074071,2.87582331969707,1.56258350028944,2.47460059720448,1.23748358160549,3.19315784610104,1.94160549325958
199,1.20733739333544,0.745166024978798,1.58635576967765,0.845050430961246,2.3603773317529,0.735544841525926,2.86909889617707,1.56102549752916,2.4723563770858,1.23667902195596,3.1859781297482,1.93938145843715
200,1.2039975534178,0.743381265123763,1.58097170923975,0.842739621650532,2.35788944075049,0.734588401043944,2.86227963567732,1.55944149034643,2.47004864421094,1.23589404291039,3.17870188912998,1.93707795008917
201,1.2006723544261,0.741611747621725,1.57563205109842,0.840449468823654,2.35537424051773,0.733654509964881,2.85554123958749,1.55792102230756,2.46767835834383,1.23508360450187,3.17148855524689,1.93483271241503
202,1.19737237888679,0.739850025238777,1.57037708928935,0.838174194367672,2.35290279554153,0.73271371289619,2.84882904155442,1.55638805494075,2.46534515366944,1.23425431079882,3.16440817670064,1.93256895424998
203,1.19408897027772,0.738084759992785,1.56516960240378,0.835881411347315,2.35042972754587,0.73177906543953,2.84206831314773,1.55483496118832,2.46294384587776,1.23341747534848,3.1571745702986,1.93029430289478
204,1.19080035000962,0.736335235886865,1.55998613156809,0.833604992251085,2.34802269833907,0.73085659880438,2.83528785190041,1.55328290294486,2.46055212721619,1.23256595793983,3.14978530113014,1.92804475494455
205,1.18752358825699,0.734603633311765,1.55483510331398,0.83133945955129,2.3455748488888,0.729928968748081,2.82855685013626,1.55176339664627,2.45814650696689,1.23170417125862,3.14250208388965,1.92574547868167
206,1.18428196277795,0.732863129148267,1.54972509641178,0.829075005166053,2.34316213832904,0.728994436403896,2.82186604151635,1.55020844493186,2.45569996422428,1.23087961921332,3.13513428390208,1.92345146775042
207,1.18105973329778,0.731133889164339,1.54465623527973,0.826836889324653,2.34073064296091,0.728081875446716,2.81529757717562,1.54865843084581,2.45333723687347,1.23009585431264,3.12757909011808,1.92116333619749
208,1.17784357255514,0.729401643638005,1.53957276468337,0.82460488593057,2.33835720136505,0.727165581926017,2.80868793693952,1.54710393631639,2.45089684721332,1.22931259990754,3.1201415433309,1.91888796884255
209,1.17465480233309,0.727664929107503,1.53455465243197,0.822386206567421,2.3360036339949,0.726263911384556,2.80199962268054,1.54558750438847,2.44857344411463,1.22851732656239,3.11277857622145,1.91662046041683
210,1.17148171332765,0.725939257850596,1.52955149949113,0.820184005395065,2.33362376339046,0.725363923178552,2.79535496945953,1.54403865437983,2.4462424606145,1.22772054020547,3.10518851634734,1.91433121119235
211,1.16829897699664,0.724215323268957,1.52457043901987,0.81799471422863,2.33132581552437,0.724493184124805,2.78868609308172,1.54244607561793,2.44387124846768,1.22690642083372,3.09750581768096,1.91202090501443
212,1.16513424674454,0.722526893519018,1.51960302869158,0.81583500852447,2.32896354760633,0.723623608649921,2.78209376866536,1.54085264579047,2.44141434781376,1.22607498693342,3.09001145523423,1.90975746882867
213,1.16199816606678,0.720847958733648,1.51465997678401,0.813693625910561,2.32660840672069,0.722717419654366,2.77553600025385,1.53927627023931,2.438955909562,1.2252573648417,3.08256958565357,1.90747464329446
214,1.1588620704718,0.719171493277897,1.50974820854061,0.811575351003152,2.32427948177001,0.721824039333543,2.76890961519535,1.53771852956133,2.4364509205755,1.22444666627516,3.07510860962831,1.90515625051465
215,1.15573462622905,0.717526397691261,1.50487010559696,0.809474130015206,2.32187216480276,0.7209319786719,2.76228902047982,1.53615088300154,2.43398613640782,1.22363248459256,3.06783843319008,1.90283084569924
216,1.15263584562078,0.715887067371371,1.50003520766549,0.807388474071862,2.31941747698252,0.72006466874972,2.75562828748421,1.53457370274782,2.4314650904977,1.2228181717523,3.06066013503866,1.90055539625421
217,1.14955835427492,0.714242647863483,1.49520135769608,0.805312191312274,2.31701790751199,0.71918379672948,2.74902559185124,1.5329784074588,2.42901087757349,1.22201400332585,3.05329308661283,1.89826041511026
218,1.1464793807157,0.712593113772647,1.49037394051083,0.803245799171427,2.31462682960862,0.718307727630183,2.74248321608391,1.53137243120387,2.42653173275586,1.22116301448707,3.04590536444259,1.89598695542932
219,1.14341241039761,0.710941942517073,1.48562787579669,0.80118608440762,2.31211878600448,0.717404534949195,2.73594331108094,1.52977247356743,2.42410886905143,1.22033426104932,3.03851974136681,1.89372279021218
220,1.14034229511757,0.709315428992981,1.48093796753121,0.799142183634056,2.30960785018716,0.716524847576747,2.72937150056856,1.52820139148526,2.42167941443258,1.21953054403704,3.03130949951753,1.89143272532477
221,1.13729643369484,0.707708858174911,1.47627723842594,0.797110621947162,2.30705416820671,0.715637774091138,2.72284528877932,1.52664295066454,2.4192016655612,1.21871321198364,3.02425511098308,1.88914637583538
222,1.13422331187354,0.706095745045167,1.4716142144491,0.795070204024134,2.30443959554403,0.714752663057617,2.71637697368445,1.52507368023793,2.41672627642306,1.21788864047736,3.01708680360906,1.88690013089214
223,1.13116471686243,0.704471841907394,1.46695604689492,0.793028761189848,2.30189207944034,0.713901371414709,2.70986727515373,1.52351212671697,2.41421788060839,1.21702106013761,3.00985728724327,1.88459446728199
224,1.12813424443356,0.702862855327204,1.4623353339032,0.79100977095535,2.29919048295509,0.713020009779966,2.70337301832043,1.52200288900746,2.41167074628402,1.2161729198187,3.002665620953,1.88229327109258
225,1.12512068564886,0.701265722602369,1.45774137318023,0.789012151007503,2.29653629617692,0.712124047255185,2.69691878069858,1.52048913921511,2.40904552050636,1.21532267482925,2.99528077641673,1.87997551238883
226,1.12212963376279,0.699681030767519,1.45317952759789,0.787012870362497,2.29397893363728,0.711230032804399,2.69039994170355,1.51903297947793,2.40635109799397,1.21446745383155,2.98783105561149,1.87766176031998
227,1.11917156205515,0.698130548440558,1.44868910880342,0.785046388639929,2.29140242670192,0.710353136181706,2.68401706681693,1.51751877739721,2.40375220554741,1.21361011719787,2.98033760412669,1.87536385048232
228,1.11621496035973,0.696581547194848,1.44424121577009,0.783070643469654,2.28882638268516,0.709486892245375,2.67763807332377,1.5159643511299,2.40106387497447,1.21278988701575,2.97302036244501,1.87306233958122
