date,mpu10
4/28/1993,0.907477196
4/29/1993,0.869149485
4/30/1993,0.935200485
5/3/1993,0.918772908
5/4/1993,0.922056384
5/5/1993,0.939361096
5/6/1993,0.921163954
5/7/1993,0.850519987
5/10/1993,0.853174613
5/11/1993,0.857156825
5/12/1993,0.861373454
5/13/1993,0.902786758
5/14/1993,0.971323056
5/17/1993,1.039511971
5/18/1993,1.054854996
5/19/1993,1.018159329
5/20/1993,1.008416773
5/21/1993,1.086995545
5/24/1993,1.181391277
5/25/1993,1.176444017
5/26/1993,1.177266621
5/27/1993,1.21119939
5/28/1993,1.264074404
6/1/1993,1.198670017
6/2/1993,1.213123123
6/3/1993,1.158829485
6/4/1993,1.285217849
6/7/1993,1.276323827
6/8/1993,1.25853126
6/9/1993,1.207677092
6/10/1993,1.207753097
6/11/1993,1.085938366
6/14/1993,1.073319739
6/15/1993,1.041591072
6/16/1993,1.029762675
6/17/1993,1.015711136
6/18/1993,1.04121067
6/21/1993,1.045089589
6/22/1993,1.062352564
6/23/1993,1.046334719
6/24/1993,1.055364318
6/25/1993,1.031433488
6/28/1993,1.053529739
6/29/1993,1.062070537
6/30/1993,1.056309428
7/1/1993,1.013155952
7/2/1993,0.979061097
7/6/1993,1.024638053
7/7/1993,1.035418526
7/8/1993,1.002076778
7/9/1993,0.983011352
7/12/1993,0.982590334
7/13/1993,0.990059406
7/14/1993,0.976441754
7/15/1993,0.987374702
7/16/1993,0.985034354
7/19/1993,0.987676285
7/20/1993,1.00334705
7/21/1993,1.041042788
7/22/1993,1.083064852
7/23/1993,1.088806491
7/26/1993,1.0824213
7/27/1993,1.082914033
7/28/1993,1.077519974
7/29/1993,1.054601096
7/30/1993,1.053561387
8/2/1993,1.067405885
8/3/1993,1.069038869
8/4/1993,1.070817132
8/5/1993,1.049387215
8/6/1993,1.038133059
8/9/1993,1.024633061
8/10/1993,1.025138279
8/11/1993,1.00977612
8/12/1993,0.965771001
8/13/1993,0.933253721
8/16/1993,0.921717082
8/17/1993,0.918457658
8/18/1993,0.91493502
8/19/1993,0.883919403
8/20/1993,0.894641272
8/23/1993,0.90474045
8/24/1993,0.873326843
8/25/1993,0.885895865
8/26/1993,0.916925014
8/27/1993,0.932433794
8/30/1993,0.957309178
8/31/1993,0.981837184
9/1/1993,0.983820516
9/2/1993,0.977414201
9/3/1993,0.956472471
9/7/1993,0.969835176
9/8/1993,0.991882874
9/9/1993,1.034163202
9/10/1993,0.978380864
9/13/1993,0.988451907
9/14/1993,1.013986291
9/15/1993,1.03308442
9/16/1993,1.017859909
9/17/1993,1.009329839
9/20/1993,1.004942058
9/21/1993,0.992318815
9/22/1993,0.96071386
9/23/1993,0.964479324
9/24/1993,0.956300471
9/27/1993,0.919730242
9/28/1993,0.917744869
9/29/1993,0.937266018
9/30/1993,0.969922368
10/1/1993,0.964232928
10/4/1993,0.9561974
10/5/1993,0.955392776
10/6/1993,0.957186543
10/7/1993,0.961986232
10/8/1993,0.928112786
10/11/1993,0.933227151
10/12/1993,0.934790973
10/13/1993,0.931171183
10/14/1993,0.906680006
10/15/1993,0.891148169
10/18/1993,0.889690305
10/19/1993,0.891854828
10/20/1993,0.889304826
10/21/1993,0.890575285
10/22/1993,0.926602671
10/25/1993,0.95019978
10/26/1993,0.936669749
10/27/1993,0.961597955
10/28/1993,0.964180278
10/29/1993,0.959728455
11/1/1993,0.977613282
11/2/1993,1.025532886
11/3/1993,1.023188921
11/4/1993,1.025971938
11/5/1993,1.047801284
11/8/1993,1.043464515
11/9/1993,1.017630514
11/10/1993,1.041553482
11/11/1993,1.042501089
11/12/1993,1.021827735
11/15/1993,1.021922413
11/16/1993,1.021863249
11/17/1993,1.02453368
11/18/1993,1.024734801
11/19/1993,1.047692364
11/22/1993,1.061004198
11/23/1993,1.046682383
11/24/1993,1.052486562
11/26/1993,1.051750625
11/29/1993,1.056667152
